ID;Catégorie d’aléa;Type d’aléa (scénario);Description aléa;Famille de risque;Exemple de risque (intitulé);Description détaillée du risque;Exemples concrets;Impacts potentiels;Mesures de prévention;Mesures de mitigation;Probabilité;Gravité;Criticité;Tags
1;Accident;Accident du travail grave;Blessure grave ou décès sur site;Opérationnel;Arrêt immédiat des activités et sécurisation du périmètre;Arrêt immédiat des activités et sécurisation du périmètre — Dans le contexte « Accident du travail grave » (Accident). Blessure grave ou décès sur site. Points sensibles : arrêt d’activité, secours, enquête.;Exemple : Accident du travail grave → arrêt immédiat des activités et sécurisation du périmètre (ex. décisions immédiates, coordination, reprise).;Arrêt/retards, mode dégradé, impacts usagers/clients.;PCA/PRA, procédures mode dégradé, exercices réguliers, annuaire crise.;Arrêt sécurisé, priorisation activités, cellule terrain, points de situation.;Moyenne;Élevée;Moyenne;arrêt d’activité, secours, enquête
2;Accident;Accident du travail grave;Blessure grave ou décès sur site;Opérationnel;Désorganisation de la coordination multi-acteurs (secours, autorités, partenaires);Désorganisation de la coordination multi-acteurs (secours, autorités, partenaires) — Dans le contexte « Accident du travail grave » (Accident). Blessure grave ou décès sur site. Points sensibles : arrêt d’activité, secours, enquête.;Exemple : Accident du travail grave → désorganisation de la coordination multi-acteurs (secours, autorités, partenaires) (ex. décisions immédiates, coordination, reprise).;Arrêt/retards, mode dégradé, impacts usagers/clients.;PCA/PRA, procédures mode dégradé, exercices réguliers, annuaire crise.;Arrêt sécurisé, priorisation activités, cellule terrain, points de situation.;Moyenne;Élevée;Moyenne;arrêt d’activité, secours, enquête
3;Accident;Accident du travail grave;Blessure grave ou décès sur site;Industriel / technique;Destruction d’ouvrages ou d’équipements critiques;Destruction d’ouvrages ou d’équipements critiques — Dans le contexte « Accident du travail grave » (Accident). Blessure grave ou décès sur site. Points sensibles : arrêt d’activité, secours, enquête.;Exemple : Accident du travail grave → destruction d’ouvrages ou d’équipements critiques (ex. décisions immédiates, coordination, reprise).;Dommages matériels, risques de sur-accident, indisponibilité d’équipements.;Maintenance préventive, inspections, redondances techniques, permis de travail.;Mise en sécurité, réparations, expertises, reprise sous conditions.;Moyenne;Élevée;Moyenne;arrêt d’activité, secours, enquête
4;Accident;Accident du travail grave;Blessure grave ou décès sur site;Industriel / technique;Déclenchement de sécurités et arrêt automatique des systèmes;Déclenchement de sécurités et arrêt automatique des systèmes — Dans le contexte « Accident du travail grave » (Accident). Blessure grave ou décès sur site. Points sensibles : arrêt d’activité, secours, enquête.;Exemple : Accident du travail grave → déclenchement de sécurités et arrêt automatique des systèmes (ex. décisions immédiates, coordination, reprise).;Dommages matériels, risques de sur-accident, indisponibilité d’équipements.;Maintenance préventive, inspections, redondances techniques, permis de travail.;Mise en sécurité, réparations, expertises, reprise sous conditions.;Moyenne;Élevée;Moyenne;arrêt d’activité, secours, enquête
5;Accident;Accident du travail grave;Blessure grave ou décès sur site;Ressources humaines;Traumatisme des équipes et stress post-évènement (RPS);Traumatisme des équipes et stress post-évènement (RPS) — Dans le contexte « Accident du travail grave » (Accident). Blessure grave ou décès sur site. Points sensibles : arrêt d’activité, secours, enquête.;Exemple : Accident du travail grave → traumatisme des équipes et stress post-évènement (rps) (ex. décisions immédiates, coordination, reprise).;Choc, fatigue, absentéisme, tensions sociales.;Prévention RPS, formation managers, rotations astreinte, culture Stop Work.;Soutien psychologique, communication interne, renforts, repos imposé.;Moyenne;Élevée;Moyenne;arrêt d’activité, secours, enquête
6;Accident;Accident du travail grave;Blessure grave ou décès sur site;Ressources humaines;Exposition à des risques physiques (chaleur, fumées, toxiques);Exposition à des risques physiques (chaleur, fumées, toxiques) — Dans le contexte « Accident du travail grave » (Accident). Blessure grave ou décès sur site. Points sensibles : arrêt d’activité, secours, enquête.;Exemple : Accident du travail grave → exposition à des risques physiques (chaleur, fumées, toxiques) (ex. décisions immédiates, coordination, reprise).;Choc, fatigue, absentéisme, tensions sociales.;Prévention RPS, formation managers, rotations astreinte, culture Stop Work.;Soutien psychologique, communication interne, renforts, repos imposé.;Moyenne;Élevée;Moyenne;arrêt d’activité, secours, enquête
7;Accident;Accident du travail grave;Blessure grave ou décès sur site;Juridique / conformité;Mise en cause pénale (accident grave, mise en danger, pollution);Mise en cause pénale (accident grave, mise en danger, pollution) — Dans le contexte « Accident du travail grave » (Accident). Blessure grave ou décès sur site. Points sensibles : arrêt d’activité, secours, enquête.;Exemple : Accident du travail grave → mise en cause pénale (accident grave, mise en danger, pollution) (ex. décisions immédiates, coordination, reprise).;Enquêtes, obligations, contentieux, sanctions.;Veille réglementaire, audits, plans de prévention, conservation des preuves.;Déclarations, interface autorités, stratégie contentieuse, documentation.;Moyenne;Critique;Élevée;arrêt d’activité, secours, enquête
8;Accident;Accident du travail grave;Blessure grave ou décès sur site;Juridique / conformité;Contentieux contractuels (pénalités, retards, responsabilités);Contentieux contractuels (pénalités, retards, responsabilités) — Dans le contexte « Accident du travail grave » (Accident). Blessure grave ou décès sur site. Points sensibles : arrêt d’activité, secours, enquête.;Exemple : Accident du travail grave → contentieux contractuels (pénalités, retards, responsabilités) (ex. décisions immédiates, coordination, reprise).;Enquêtes, obligations, contentieux, sanctions.;Veille réglementaire, audits, plans de prévention, conservation des preuves.;Déclarations, interface autorités, stratégie contentieuse, documentation.;Moyenne;Critique;Élevée;arrêt d’activité, secours, enquête
9;Accident;Accident du travail grave;Blessure grave ou décès sur site;Financier;Coûts de réparation et de remise en état (ouvrages, équipements);Coûts de réparation et de remise en état (ouvrages, équipements) — Dans le contexte « Accident du travail grave » (Accident). Blessure grave ou décès sur site. Points sensibles : arrêt d’activité, secours, enquête.;Exemple : Accident du travail grave → coûts de réparation et de remise en état (ouvrages, équipements) (ex. décisions immédiates, coordination, reprise).;Pertes d’exploitation, coûts de remise en état, hausse primes/franchises.;Assurances adaptées, budgets d’urgence, suivi trésorerie, clauses contractuelles.;Activation fonds d’urgence, suivi coûts, déclaration assureur, mitigation pénalités.;Moyenne;Élevée;Moyenne;arrêt d’activité, secours, enquête
10;Accident;Accident du travail grave;Blessure grave ou décès sur site;Financier;Hausse des primes, franchises et difficultés d’assurabilité;Hausse des primes, franchises et difficultés d’assurabilité — Dans le contexte « Accident du travail grave » (Accident). Blessure grave ou décès sur site. Points sensibles : arrêt d’activité, secours, enquête.;Exemple : Accident du travail grave → hausse des primes, franchises et difficultés d’assurabilité (ex. décisions immédiates, coordination, reprise).;Pertes d’exploitation, coûts de remise en état, hausse primes/franchises.;Assurances adaptées, budgets d’urgence, suivi trésorerie, clauses contractuelles.;Activation fonds d’urgence, suivi coûts, déclaration assureur, mitigation pénalités.;Moyenne;Élevée;Moyenne;arrêt d’activité, secours, enquête
11;Accident;Accident du travail grave;Blessure grave ou décès sur site;Image / réputation;Médiatisation nationale / locale et perte de confiance;Médiatisation nationale / locale et perte de confiance — Dans le contexte « Accident du travail grave » (Accident). Blessure grave ou décès sur site. Points sensibles : arrêt d’activité, secours, enquête.;Exemple : Accident du travail grave → médiatisation nationale / locale et perte de confiance (ex. décisions immédiates, coordination, reprise).;Perte de confiance, pression médiatique, rumeurs.;Veille médias, porte-parole, éléments de langage, charte RS.;Communication factuelle/empathetic, lutte rumeurs, coordination autorités.;Moyenne;Élevée;Moyenne;arrêt d’activité, secours, enquête
